Time	Key	Button	Event
209.952710     	shift          	Shift_l        	+0000033
209.984625     	shift          	Shift_l        	+0000034
210.016539     	shift          	Shift_l        	+0000035
210.035489     	T              	T              	+0000022
210.115324     	T              	T              	-0000022
210.195097     	shift          	Shift_l        	-0000035
210.851322     	y              	Y              	+0000013
210.915138     	y              	Y              	-0000013
211.219328     	p              	P              	+0000007
211.299110     	e              	E              	+0000037
211.307089     	p              	P              	-0000007
211.378931     	e              	E              	-0000037
213.867254     	=              	s1             	+0000014
213.947062     	=              	s1             	-0000014
214.299111     	shift          	Shift_l        	+0000036
214.813735     	shift          	Shift_l        	+0000037
214.845681     	shift          	Shift_l        	+0000038
214.877595     	shift          	Shift_l        	+0000039
214.909512     	shift          	Shift_l        	+0000040
214.941428     	shift          	Shift_l        	+0000041
214.973307     	shift          	Shift_l        	+0000042
215.006219     	shift          	Shift_l        	+0000043
215.037136     	shift          	Shift_l        	+0000044
215.070051     	shift          	Shift_l        	+0000045
215.099970     	shift          	Shift_l        	+0000046
215.131888     	shift          	Shift_l        	+0000047
215.163799     	shift          	Shift_l        	+0000048
215.210672     	shift          	Shift_l        	+0000049
215.241623     	shift          	Shift_l        	+0000050
215.272542     	shift          	Shift_l        	+0000051
215.304428     	shift          	Shift_l        	+0000052
215.335374     	shift          	Shift_l        	+0000053
215.367253     	shift          	Shift_l        	+0000054
215.400166     	shift          	Shift_l        	+0000055
215.431083     	shift          	Shift_l        	+0000056
215.459010     	:              	s4             	+0000006
215.555763     	:              	s4             	-0000006
215.906840     	shift          	Shift_l        	-0000056
216.338658     	backspace      	BckSpc         	+0000025
216.403483     	backspace      	BckSpc         	-0000025
216.682736     	shift          	Shift_l        	+0000057
216.827351     	"              	s5             	+0000014
216.955008     	"              	s5             	-0000014
217.066744     	shift          	Shift_l        	-0000057
218.307406     	shift          	Shift_l        	+0000058
218.466966     	<              	s7             	+0000010
218.547761     	<              	s7             	-0000010
218.643494     	shift          	Shift_l        	-0000058
220.555427     	e              	E              	+0000038
220.603290     	e              	E              	-0000038
220.915424     	x              	X              	+0000004
220.979259     	x              	X              	-0000004
221.122900     	t              	T              	+0000023
221.187708     	e              	E              	+0000039
221.203666     	t              	T              	-0000023
221.283447     	e              	E              	-0000039
221.291415     	r              	R              	+0000018
221.363225     	r              	R              	-0000018
221.427054     	n              	N              	+0000012
221.506840     	n              	N              	-0000012
221.522798     	a              	A              	+0000020
221.603591     	a              	A              	-0000020
221.667425     	l              	L              	+0000019
221.715340     	l              	L              	-0000019
222.555036     	shift          	Shift_l        	+0000059
222.731567     	>              	s8             	+0000009
222.795397     	>              	s8             	-0000009
222.923054     	shift          	Shift_l        	-0000059
225.322670     	shift          	Shift_l        	+0000060
225.419414     	"              	s5             	+0000015
225.499167     	"              	s5             	-0000015
225.531113     	shift          	Shift_l        	-0000060
226.587291     	,              	s7             	+0000011
226.651119     	,              	s7             	-0000011
226.698959     	space          	Space          	+0000017
226.778778     	space          	Space          	-0000017
230.651405     	shift          	Shift_l        	+0000061
231.115151     	shift          	Shift_l        	-0000061
231.851221     	backspace      	BckSpc         	+0000026
231.915049     	backspace      	BckSpc         	-0000026
232.010794     	backspace      	BckSpc         	+0000027
232.058630     	backspace      	BckSpc         	-0000027
232.179310     	backspace      	BckSpc         	+0000028
232.243135     	backspace      	BckSpc         	-0000028
232.402710     	backspace      	BckSpc         	+0000029
232.467542     	backspace      	BckSpc         	-0000029
234.771572     	,              	s7             	+0000012
234.835403     	,              	s7             	-0000012
234.867316     	space          	Space          	+0000018
234.931145     	space          	Space          	-0000018
236.283546     	'              	s5             	+0000016
236.331401     	'              	s5             	-0000016
